Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
55365160,09/11/2022 12:58:03 AM,09/11/2022 03:26:23 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10009,169 AVENUE A,AVENUE A,EAST   10 STREET,EAST   11 STREET,EAST   10 STREET,EAST   11 STREET,ADDRESS,NEW YORK,AVENUE A,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/11/2022 03:26:28 AM,03 MANHATTAN,MANHATTAN,989248,204587,Unspecified,MANHATTAN,,,,,,,,40.72821933235486,-73.98196731977285,"(40.72821933235486, -73.98196731977285)"
55363830,09/11/2022 12:59:37 AM,09/11/2022 01:18:03 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10032,655 WEST  160 STREET,WEST  160 STREET,FORT WASHINGTON AVENUE,RIVERSIDE DRIVE,FORT WASHINGTON AVENUE,RIVERSIDE DRIVE,ADDRESS,NEW YORK,WEST  160 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/11/2022 01:18:09 AM,12 MANHATTAN,MANHATTAN,999307,244152,Unspecified,MANHATTAN,,,,,,,,40.83680331008733,-73.94558598899529,"(40.83680331008733, -73.94558598899529)"
55357399,09/11/2022 01:01:00 AM,09/11/2022 01:28:22 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10032,101 AUDUBON AVENUE,AUDUBON AVENUE,WEST  170 STREET,WILSON BATISTA CORNER,WEST  170 STREET,WILSON BATISTA CORNER,ADDRESS,NEW YORK,AUDUBON AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/11/2022 01:28:30 AM,12 MANHATTAN,MANHATTAN,1001597,246017,Unspecified,MANHATTAN,,,,,,,,40.84191799006391,-73.93730541001818,"(40.84191799006391, -73.93730541001818)"
55357242,09/11/2022 01:03:54 AM,09/11/2022 03:27:03 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Store/Commercial,10009,164 AVENUE B,AVENUE B,EAST   10 STREET,EAST   11 STREET,EAST   10 STREET,EAST   11 STREET,ADDRESS,NEW YORK,AVENUE B,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/11/2022 03:27:08 AM,03 MANHATTAN,MANHATTAN,989866,204186,Unspecified,MANHATTAN,,,,,,,,40.72711831434265,-73.97973792333805,"(40.72711831434265, -73.97973792333805)"
55373845,09/11/2022 01:07:59 AM,09/11/2022 01:22:59 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10029,1267 PARK AVENUE,PARK AVENUE,EAST   97 STREET,EAST   98 STREET,EAST   97 STREET,EAST   98 STREET,ADDRESS,NEW YORK,PARK AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/11/2022 01:23:05 AM,11 MANHATTAN,MANHATTAN,997629,226272,Unspecified,MANHATTAN,,,,,,,,40.78773039944944,-73.9516856972169,"(40.78773039944944, -73.9516856972169)"
55368223,09/11/2022 01:12:47 AM,09/11/2022 05:16:28 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11103,32-66 45 STREET,45 STREET,BROADWAY,34 AVENUE,BROADWAY,34 AVENUE,ADDRESS,ASTORIA,45 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/11/2022 05:16:33 AM,01 QUEENS,QUEENS,1007471,214597,Unspecified,QUEENS,,,,,,,,40.75566520776986,-73.91618458186724,"(40.75566520776986, -73.91618458186724)"
55370603,09/11/2022 01:16:42 AM,09/11/2022 02:10:33 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10002,72 ORCHARD STREET,ORCHARD STREET,GRAND STREET,BROOME STREET,GRAND STREET,BROOME STREET,ADDRESS,NEW YORK,ORCHARD STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/11/2022 02:10:36 AM,03 MANHATTAN,MANHATTAN,986874,200686,Unspecified,MANHATTAN,,,,,,,,40.717513054061804,-73.99053418330956,"(40.717513054061804, -73.99053418330956)"
55370599,09/11/2022 01:18:25 AM,09/11/2022 02:18:52 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11368,55-43 97 STREET,97 STREET,55 AVENUE,57 AVENUE,55 AVENUE,57 AVENUE,ADDRESS,CORONA,97 STREET,,Closed,,The Police Department reviewed your complaint and provided additional information below.,09/11/2022 02:18:56 AM,04 QUEENS,QUEENS,1021791,208316,Unspecified,QUEENS,,,,,,,,40.73837625696911,-73.86453215086935,"(40.73837625696911, -73.86453215086935)"
55370127,09/11/2022 01:22:32 AM,09/11/2022 07:41:29 AM,NYPD,New York City Police Department,Noise - Park,Loud Talking,Park/Playground,11226,1305 CORTELYOU ROAD,CORTELYOU ROAD,ARGYLE ROAD,RUGBY ROAD,ARGYLE ROAD,RUGBY ROAD,ADDRESS,BROOKLYN,CORTELYOU ROAD,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,09/11/2022 07:41:34 AM,14 BROOKLYN,BROOKLYN,993680,172633,Unspecified,BROOKLYN,,,,,,,,40.64050929699826,-73.96602147718365,"(40.64050929699826, -73.96602147718365)"
55366049,09/11/2022 01:23:03 AM,09/11/2022 01:43:58 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10028,350 EAST   85 STREET,EAST   85 STREET,2 AVENUE,1 AVENUE,2 AVENUE,1 AVENUE,ADDRESS,NEW YORK,EAST   85 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/11/2022 01:44:05 AM,08 MANHATTAN,MANHATTAN,997809,222246,Unspecified,MANHATTAN,,,,,,,,40.776679825509554,-73.9510438059397,"(40.776679825509554, -73.9510438059397)"
55372809,09/11/2022 01:23:37 AM,09/11/2022 02:11:03 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10468,2301 MORRIS AVENUE,MORRIS AVENUE,EAST  183 STREET,FIELD PLACE,EAST  183 STREET,FIELD PLACE,ADDRESS,BRONX,MORRIS AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/11/2022 02:11:11 AM,05 BRONX,BRONX,1011429,252027,Unspecified,BRONX,,,,,,,,40.858388863283075,-73.90174678802464,"(40.858388863283075, -73.90174678802464)"
55370601,09/11/2022 01:26:42 AM,09/11/2022 02:07:36 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11217,510 ATLANTIC AVENUE,ATLANTIC AVENUE,NEVINS STREET,THELMA MARTIN WAY,NEVINS STREET,THELMA MARTIN WAY,ADDRESS,BROOKLYN,ATLANTIC AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/11/2022 02:07:41 AM,02 BROOKLYN,BROOKLYN,989453,189032,Unspecified,BROOKLYN,,,,,,,,40.68552441381853,-73.98123970346732,"(40.68552441381853, -73.98123970346732)"
55370598,09/11/2022 01:29:29 AM,09/11/2022 02:45:42 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11377,41 AVENUE,41 AVENUE,41 AVENUE,72 STREET,41 AVENUE,72 STREET,INTERSECTION,,,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/11/2022 02:45:47 AM,04 QUEENS,QUEENS,1013831,210711,Unspecified,QUEENS,,,,,,,,40.744980136392726,-73.89324549007658,"(40.744980136392726, -73.89324549007658)"
55369327,09/11/2022 01:33:56 AM,09/11/2022 03:12:09 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11356,14-34 110 STREET,110 STREET,14 AVENUE,14 ROAD,14 AVENUE,14 ROAD,ADDRESS,COLLEGE POINT,110 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/11/2022 03:12:13 AM,07 QUEENS,QUEENS,1023895,225221,Unspecified,QUEENS,,,,,,,,40.784766894204346,-73.85684011989908,"(40.784766894204346, -73.85684011989908)"
55365971,09/11/2022 01:35:57 AM,09/11/2022 01:37:45 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10463,3489 FORT INDEPENDENCE STREET,FORT INDEPENDENCE STREET,BAILEY PLACE,ORLOFF AVENUE,BAILEY PLACE,ORLOFF AVENUE,ADDRESS,BRONX,FORT INDEPENDENCE STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/11/2022 01:37:50 AM,08 BRONX,BRONX,1012347,260665,Unspecified,BRONX,,,,,,,,40.88209464260877,-73.89839196159124,"(40.88209464260877, -73.89839196159124)"
55371715,09/11/2022 01:37:11 AM,09/11/2022 02:05:30 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10032,600 WEST  164 STREET,WEST  164 STREET,BROADWAY,FORT WASHINGTON AVENUE,BROADWAY,FORT WASHINGTON AVENUE,ADDRESS,NEW YORK,WEST  164 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/11/2022 02:05:36 AM,12 MANHATTAN,MANHATTAN,1000286,244796,Unspecified,MANHATTAN,,,,,,,,40.83856917947116,-73.94204647344907,"(40.83856917947116, -73.94204647344907)"
55373915,09/11/2022 01:39:58 AM,09/11/2022 02:53:48 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11365,56-21 HOLLIS CT BOULEVARD,HOLLIS CT BOULEVARD,197 STREET,199 STREET,197 STREET,199 STREET,ADDRESS,FRESH MEADOWS,HOLLIS COURT BOULEVARD,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/11/2022 02:53:54 AM,11 QUEENS,QUEENS,1045365,211139,Unspecified,QUEENS,,,,,,,,40.745993180868595,-73.7794392900359,"(40.745993180868595, -73.7794392900359)"
55373920,09/11/2022 01:49:26 AM,09/11/2022 01:58:23 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10031,541 WEST  142 STREET,WEST  142 STREET,HAMILTON PLACE,BROADWAY,HAMILTON PLACE,BROADWAY,ADDRESS,NEW YORK,WEST  142 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/11/2022 01:58:26 AM,09 MANHATTAN,MANHATTAN,997936,239477,Unspecified,MANHATTAN,,,,,,,,40.82397400846211,-73.95055013833444,"(40.82397400846211, -73.95055013833444)"
55371620,09/11/2022 01:54:21 AM,09/11/2022 02:32:04 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10029,315 EAST  111 STREET,EAST  111 STREET,PETRA ALLENDE WAY,1 AVENUE,PETRA ALLENDE WAY,1 AVENUE,ADDRESS,NEW YORK,EAST  111 STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,09/11/2022 02:32:07 AM,11 MANHATTAN,MANHATTAN,1001022,228391,Unspecified,MANHATTAN,,,,,,,,40.793540695173185,-73.93942759306128,"(40.793540695173185, -73.93942759306128)"
55366730,09/11/2022 01:58:20 AM,09/11/2022 03:11:07 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Store/Commercial,10040,141 NAGLE AVENUE,NAGLE AVENUE,ARDEN STREET,THAYER STREET,ARDEN STREET,THAYER STREET,ADDRESS,NEW YORK,NAGLE AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/11/2022 03:11:13 AM,12 MANHATTAN,MANHATTAN,1004643,252983,Unspecified,MANHATTAN,,,,,,,,40.86103107825989,-73.92627553723854,"(40.86103107825989, -73.92627553723854)"
55369419,09/11/2022 02:00:44 AM,09/11/2022 03:52:41 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11237,247 IRVING AVENUE,IRVING AVENUE,GREENE AVENUE,BLEECKER STREET,GREENE AVENUE,BLEECKER STREET,ADDRESS,BROOKLYN,IRVING AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/11/2022 03:52:45 AM,04 BROOKLYN,BROOKLYN,1007343,194447,Unspecified,BROOKLYN,,,,,,,,40.70035873399246,-73.91671574300591,"(40.70035873399246, -73.91671574300591)"
55367115,09/11/2022 02:02:18 AM,09/11/2022 03:11:55 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11218,183 MINNA STREET,MINNA STREET,CHESTER AVENUE,36 STREET,CHESTER AVENUE,36 STREET,ADDRESS,BROOKLYN,MINNA STREET,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,09/11/2022 03:11:59 AM,12 BROOKLYN,BROOKLYN,988039,174080,Unspecified,BROOKLYN,,,,,,,,40.64448521068096,-73.98634652260401,"(40.64448521068096, -73.98634652260401)"
55373486,09/11/2022 02:09:40 AM,09/11/2022 03:18:54 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Store/Commercial,11237,41 WILSON AVENUE,WILSON AVENUE,GEORGE STREET,MELROSE STREET,GEORGE STREET,MELROSE STREET,ADDRESS,BROOKLYN,WILSON AVENUE,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,09/11/2022 03:18:58 AM,04 BROOKLYN,BROOKLYN,1003833,195330,Unspecified,BROOKLYN,,,,,,,,40.70279082504312,-73.92937188599319,"(40.70279082504312, -73.92937188599319)"
55366051,09/11/2022 02:11:10 AM,09/11/2022 02:20:14 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10031,620 WEST  141 STREET,WEST  141 STREET,BROADWAY,RIVERSIDE DRIVE,BROADWAY,RIVERSIDE DRIVE,ADDRESS,NEW YORK,WEST  141 STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,09/11/2022 02:20:18 AM,09 MANHATTAN,MANHATTAN,997264,239545,Unspecified,MANHATTAN,,,,,,,,40.82416166479311,-73.95297805704422,"(40.82416166479311, -73.95297805704422)"
55371720,09/11/2022 02:12:52 AM,09/11/2022 02:29:01 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10031,541 WEST  142 STREET,WEST  142 STREET,HAMILTON PLACE,BROADWAY,HAMILTON PLACE,BROADWAY,ADDRESS,NEW YORK,WEST  142 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/11/2022 02:29:07 AM,09 MANHATTAN,MANHATTAN,997936,239477,Unspecified,MANHATTAN,,,,,,,,40.82397400846211,-73.95055013833444,"(40.82397400846211, -73.95055013833444)"
55368295,09/11/2022 02:15:26 AM,09/11/2022 02:58:47 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11207,573 SUTTER AVENUE,SUTTER AVENUE,ALABAMA AVENUE,GEORGIA AVENUE,ALABAMA AVENUE,GEORGIA AVENUE,ADDRESS,BROOKLYN,SUTTER AVENUE,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,09/11/2022 02:58:52 AM,05 BROOKLYN,BROOKLYN,1012626,183032,Unspecified,BROOKLYN,,,,,,,,40.66901182401301,-73.8977108399409,"(40.66901182401301, -73.8977108399409)"
55372811,09/11/2022 02:17:44 AM,09/11/2022 06:37:00 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10458,2447 HOFFMAN STREET,HOFFMAN STREET,EAST  188 STREET,EAST  189 STREET,EAST  188 STREET,EAST  189 STREET,ADDRESS,BRONX,HOFFMAN STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/11/2022 06:37:03 AM,06 BRONX,BRONX,1015401,251616,Unspecified,BRONX,,,,,,,,40.85724767069925,-73.88738976817706,"(40.85724767069925, -73.88738976817706)"
55372820,09/11/2022 02:21:43 AM,09/11/2022 03:56:23 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10468,2307 MORRIS AVENUE,MORRIS AVENUE,EAST  183 STREET,FIELD PLACE,EAST  183 STREET,FIELD PLACE,ADDRESS,BRONX,MORRIS AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/11/2022 03:56:30 AM,05 BRONX,BRONX,1011446,252066,Unspecified,BRONX,,,,,,,,40.85849585416589,-73.90168517413494,"(40.85849585416589, -73.90168517413494)"
55367192,09/11/2022 02:22:14 AM,09/11/2022 04:00:09 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11238,53 PUTNAM AVENUE,PUTNAM AVENUE,DOWNING STREET,IRVING PLACE,DOWNING STREET,IRVING PLACE,ADDRESS,BROOKLYN,PUTNAM AVENUE,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,09/11/2022 04:00:14 AM,02 BROOKLYN,BROOKLYN,995324,188072,Unspecified,BROOKLYN,,,,,,,,40.68288403486294,-73.96007239986064,"(40.68288403486294, -73.96007239986064)"
55368228,09/11/2022 02:24:03 AM,09/11/2022 03:16:58 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11234,2105 KIMBALL STREET,KIMBALL STREET,AVENUE T,AVENUE U,AVENUE T,AVENUE U,ADDRESS,BROOKLYN,KIMBALL STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/11/2022 03:17:03 AM,18 BROOKLYN,BROOKLYN,1004663,161470,Unspecified,BROOKLYN,,,,,,,,40.60985071044174,-73.92648089976467,"(40.60985071044174, -73.92648089976467)"
55366628,09/11/2022 02:26:21 AM,09/11/2022 03:23:29 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,10001,408 8 AVENUE,8 AVENUE,WEST   30 STREET,WEST   31 STREET,WEST   30 STREET,WEST   31 STREET,ADDRESS,NEW YORK,8 AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/11/2022 03:23:34 AM,05 MANHATTAN,MANHATTAN,985607,212494,Unspecified,MANHATTAN,,,,,,,,40.749923393658534,-73.99510237707422,"(40.749923393658534, -73.99510237707422)"
55366045,09/11/2022 02:29:32 AM,09/11/2022 03:41:36 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11419,107-40 131 STREET,131 STREET,107 AVENUE,109 AVENUE,107 AVENUE,109 AVENUE,ADDRESS,SOUTH RICHMOND HILL,131 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/11/2022 03:41:44 AM,10 QUEENS,QUEENS,1036161,189329,Unspecified,QUEENS,,,,,,,,40.68618891187156,-73.81282410306527,"(40.68618891187156, -73.81282410306527)"
55373919,09/11/2022 02:36:22 AM,09/11/2022 03:08:09 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10040,WADSWORTH AVENUE,WADSWORTH AVENUE,WADSWORTH AVENUE,WEST  188 STREET,WADSWORTH AVENUE,WEST  188 STREET,INTERSECTION,,,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/11/2022 03:08:13 AM,12 MANHATTAN,MANHATTAN,1003124,250494,Unspecified,MANHATTAN,,,,,,,,40.854202899118,-73.93177400890879,"(40.854202899118, -73.93177400890879)"
55366050,09/11/2022 02:43:02 AM,09/11/2022 02:58:32 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10010,EAST   22 STREET,EAST   22 STREET,PARK AVENUE SOUTH,LEXINGTON AVENUE,PARK AVENUE SOUTH,LEXINGTON AVENUE,BLOCKFACE,,,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/11/2022 02:58:37 AM,Unspecified MANHATTAN,MANHATTAN,,,Unspecified,MANHATTAN,,,,,,,,,,
55373918,09/11/2022 02:44:43 AM,09/11/2022 06:13:29 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11105,22-79 STEINWAY STREET,STEINWAY STREET,DITMARS BOULEVARD,23 AVENUE,DITMARS BOULEVARD,23 AVENUE,ADDRESS,ASTORIA,STEINWAY STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/11/2022 06:13:35 AM,01 QUEENS,QUEENS,1009849,220404,Unspecified,QUEENS,,,,,,,,40.77159735201761,-73.90757916260694,"(40.77159735201761, -73.90757916260694)"
55365969,09/11/2022 02:51:45 AM,09/11/2022 03:55:52 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11367,144-01 MELBOURNE AVENUE,MELBOURNE AVENUE,MAIN STREET,147 STREET,MAIN STREET,147 STREET,ADDRESS,FLUSHING,MELBOURNE AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/11/2022 03:55:59 AM,08 QUEENS,QUEENS,1032724,206797,Unspecified,QUEENS,,,,,,,,40.734153820376676,-73.82509112314752,"(40.734153820376676, -73.82509112314752)"
55369417,09/11/2022 02:55:35 AM,09/11/2022 03:05:25 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10462,2179 WHITE PLAINS ROAD,WHITE PLAINS ROAD,LYDIG AVENUE,PELHAM PARKWAY SOUTH,LYDIG AVENUE,PELHAM PARKWAY SOUTH,ADDRESS,BRONX,WHITE PLAINS ROAD,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/11/2022 03:05:28 AM,11 BRONX,BRONX,1020859,251081,Unspecified,BRONX,,,,,,,,40.85575831200495,-73.86766215871786,"(40.85575831200495, -73.86766215871786)"
55368290,09/11/2022 02:59:47 AM,09/11/2022 03:05:49 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10027,374 WEST  127 STREET,WEST  127 STREET,ST NICHOLAS TERRACE,CONVENT AVENUE,ST NICHOLAS TERRACE,CONVENT AVENUE,ADDRESS,NEW YORK,WEST  127 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/11/2022 03:05:54 AM,09 MANHATTAN,MANHATTAN,997377,235279,Unspecified,MANHATTAN,,,,,,,,40.81245252877801,-73.95257811209905,"(40.81245252877801, -73.95257811209905)"
55372810,09/11/2022 03:06:41 AM,09/11/2022 03:35:34 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11211,295 GRAND STREET,GRAND STREET,ROEBLING STREET,HAVEMEYER STREET,ROEBLING STREET,HAVEMEYER STREET,ADDRESS,BROOKLYN,GRAND STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/11/2022 03:35:39 AM,01 BROOKLYN,BROOKLYN,996070,199032,Unspecified,BROOKLYN,,,,,,,,40.71296571315698,-73.95736344346497,"(40.71296571315698, -73.95736344346497)"
55371723,09/11/2022 03:07:48 AM,09/11/2022 04:46:53 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11233,841 HALSEY STREET,HALSEY STREET,HOWARD AVENUE,SARATOGA AVENUE,HOWARD AVENUE,SARATOGA AVENUE,ADDRESS,BROOKLYN,HALSEY STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/11/2022 04:46:58 AM,03 BROOKLYN,BROOKLYN,1006694,188979,Unspecified,BROOKLYN,,,,,,,,40.68535201436509,-73.91907456016442,"(40.68535201436509, -73.91907456016442)"
55371230,09/11/2022 03:11:21 AM,09/11/2022 03:33:44 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Store/Commercial,10463,3118 BAILEY AVENUE,BAILEY AVENUE,WEST  231 STREET,SUMMIT PLACE,WEST  231 STREET,SUMMIT PLACE,ADDRESS,BRONX,BAILEY AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/11/2022 03:33:49 AM,08 BRONX,BRONX,1011340,259336,Unspecified,BRONX,,,,,,,,40.878450101343795,-73.90203897804452,"(40.878450101343795, -73.90203897804452)"
55365965,09/11/2022 03:20:12 AM,09/11/2022 03:41:57 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11211,73 KINGSLAND AVENUE,KINGSLAND AVENUE,FROST STREET,RICHARDSON STREET,FROST STREET,RICHARDSON STREET,ADDRESS,BROOKLYN,KINGSLAND AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/11/2022 03:42:04 AM,01 BROOKLYN,BROOKLYN,1000736,201167,Unspecified,BROOKLYN,,,,,,,,40.718818311737486,-73.94052724016188,"(40.718818311737486, -73.94052724016188)"
55368224,09/11/2022 03:29:25 AM,09/11/2022 03:59:57 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11238,649 STERLING PLACE,STERLING PLACE,FRANKLIN AVENUE SHUTTLE LINE,FRANKLIN AVENUE,FRANKLIN AVENUE SHUTTLE LINE,FRANKLIN AVENUE,ADDRESS,BROOKLYN,STERLING PLACE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/11/2022 04:00:04 AM,08 BROOKLYN,BROOKLYN,996128,184592,Unspecified,BROOKLYN,,,,,,,,40.67333118066708,-73.95717969050949,"(40.67333118066708, -73.95717969050949)"
55366048,09/11/2022 03:32:23 AM,09/11/2022 05:00:33 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10031,605 WEST  151 STREET,WEST  151 STREET,BROADWAY,RIVERSIDE DRIVE,BROADWAY,RIVERSIDE DRIVE,ADDRESS,NEW YORK,WEST  151 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/11/2022 05:00:38 AM,09 MANHATTAN,MANHATTAN,998619,241817,Unspecified,MANHATTAN,,,,,,,,40.830395555289485,-73.94807733140054,"(40.830395555289485, -73.94807733140054)"
55371719,09/11/2022 03:32:49 AM,09/11/2022 03:46:31 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10027,372 WEST  127 STREET,WEST  127 STREET,ST NICHOLAS TERRACE,CONVENT AVENUE,ST NICHOLAS TERRACE,CONVENT AVENUE,ADDRESS,NEW YORK,WEST  127 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/11/2022 03:46:34 AM,09 MANHATTAN,MANHATTAN,997387,235274,Unspecified,MANHATTAN,,,,,,,,40.81243879030817,-73.95254199643468,"(40.81243879030817, -73.95254199643468)"
55372815,09/11/2022 03:35:32 AM,09/11/2022 04:34:01 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10468,2301 MORRIS AVENUE,MORRIS AVENUE,EAST  183 STREET,FIELD PLACE,EAST  183 STREET,FIELD PLACE,ADDRESS,BRONX,MORRIS AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/11/2022 04:34:05 AM,05 BRONX,BRONX,1011429,252027,Unspecified,BRONX,,,,,,,,40.858388863283075,-73.90174678802464,"(40.858388863283075, -73.90174678802464)"
